key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-1,,,,1,
up,0,0,,,,,
up,1,0,,1,,,
up,0,-3,,,,1,
up,1,0,,1,,,
up,0,-3,,,,1,
up,0,0,,,,,
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-2,,,,1,
up,0,0,,,,,
down,1,2,,,,,1
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
up,0,-5,,,,1,
up,0,4,,,,1,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,0,,1,,,
up,1,0,,1,,,
down,1,-5,,,,,1
up,0,3,,,,1,
down,1,-4,,,,,1
up,0,-5,,,,1,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
up,0,-1,,,,1,
up,0,3,,,,1,
up,0,-4,,,,1,
up,0,4,,,,1,
down,0,0,,,1,,
up,0,-1,,,,1,
down,1,-3,,,,,1
up,0,4,,,,1,
down,1,-4,,,,,1
up,0,0,,,,,
down,0,0,,,1,,
up,1,0,1,,,,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
up,0,4,,,,1,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,3,,,,1,
up,1,0,1,,,,
up,0,-4,,,,1,
down,1,-3,,,,,1
down,1,1,,,,,1
up,1,0,1,,,,
down,0,0,,,1,,
up,1,0,1,,,,
up,0,-4,,,,1,
up,0,3,,,,1,
up,0,2,,,,1,
up,0,1,,,,1,
up,0,-2,,,,1,
down,1,3,,,,,1
up,1,0,1,,,,
down,1,-4,,,,,1
up,1,0,1,,,,
up,0,4,,,,1,
up,0,-1,,,,1,
up,1,0,1,,,,
down,1,4,,,,,1
up,1,0,1,,,,
down,1,3,,,,,1
down,1,-4,,,,,1
down,0,0,,,1,,
up,0,4,,,,1,
down,1,4,,,,,1
down,1,-2,,,,,1
up,0,1,,,,1,
up,1,0,1,,,,
up,1,0,1,,,,
down,0,0,,,1,,
up,1,0,1,,,,
up,0,1,,,,1,
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,-4,,,,1,
up,0,-5,,,,1,
up,1,0,1,,,,
up,0,-3,,,,1,
up,0,2,,,,1,
up,1,0,1,,,,
down,1,-5,,,,,1
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,-2,,,,1,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,0,,,,,
up,0,-3,,,,1,
down,1,-5,,,,,1
down,0,0,,,1,,
down,1,-1,,,,,1
down,0,0,,,1,,
up,0,0,,,,,
down,0,0,,,1,,
down,1,-3,,,,,1
up,0,-5,,,,1,
up,0,-1,,,,1,
up,1,0,,,,,
down,1,-1,,,,,1
down,1,-4,1,,,,1
up,0,-4,,,,1,
down,1,-2,,,,,1
up,1,0,1,,,,
up,0,0,,,,,
up,0,-1,,,,1,
up,1,0,1,,,,
down,0,0,,,1,,
up,0,0,,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,0,,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,-5,,,,1,
up,0,2,,,,1,
up,0,-5,,,,1,
up,0,-3,,,,1,
down,1,0,1,,,,
up,0,4,,,,1,
up,1,0,1,,,,
down,1,1,,,,,1
down,1,-5,,,,,1
down,1,-3,,,,,1
up,0,-4,,,,1,
up,1,0,1,,,,
down,1,1,,,,,1
up,0,-3,,,,1,
up,0,-4,,,,1,
up,1,0,1,,,,
up,0,-5,,,,1,
down,1,-4,,,,,1
up,1,0,1,,,,
up,1,0,1,,,,
down,1,3,,,,,1
up,0,-1,,,,1,
down,0,0,,,1,,
up,1,0,1,,,,
up,1,0,1,,,,
down,0,0,,,1,,
down,1,1,,,,,1
up,0,-2,,,,1,
up,1,0,1,,,,
down,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,1,0,1,,,,
up,0,1,,,,1,
down,1,-1,,,,,1
up,0,2,,,,1,
up,0,1,,,,1,
down,0,0,,,1,,
up,1,0,1,,,,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
up,0,2,,,,1,
up,0,4,,,,1,
down,0,0,,,1,,
up,1,0,1,,,,
down,0,0,,,1,,
up,0,-5,,,,1,
up,1,0,1,,,,
down,0,0,,,1,,
down,1,3,,,,,1
down,1,2,,,,,1
down,1,0,1,,,,
up,0,-2,,,,1,
down,1,0,1,,,,
down,0,0,,,1,,
up,1,0,1,,,,
up,1,0,1,,,,
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,1,,,,
up,0,-5,,,,1,
down,1,-2,,,,,1
up,1,0,1,,,,
up,0,-1,,,,1,
up,0,-2,,,,1,
down,0,0,,,1,,
up,1,0,1,,,,
,,,,,,,
,,,sum,13,31,58,32
,,,,,,,
,,,prop hit,0.295454545,0.295454545,,
,,,prop fa,0.644444444,,,
,,,dprime,-0.907883351,,,
,,,ca,0.722701229,,,
